Rank,Puzzles,AMT_(s),Solved_rate,1-sigma_Mean_(s),1-sigma_STD_(s)
1--9--12--12,6.51,92.9%
6--10--10--10,6.51,95.9%
3--7--9--9,6.53,90.8%
1--3--3--7,6.56,96.1%
3--9--9--12,6.56,95.2%
4--6--7--8,6.56,95.7%
8--8--8--10,6.57,90.3%
2--4--5--12,6.58,94.8%
2--8--8--13,6.58,93%
4--5--9--9,6.58,88.3%
1--3--3--5,6.59,95.2%
1--4--6--13,6.59,97.7%
2--8--10--11,6.59,95%
2--11--13--13,6.59,94.2%
3--4--5--8,6.59,96.3%
3--5--11--11,6.59,94.8%
1--3--5--8,6.6,95.3%
1--7--8--12,6.6,95.6%
2--2--2--11,6.6,92.4%
3--10--10--12,6.6,94.6%
4--5--13--13,6.6,87.4%
1--6--7--11,6.61,97.4%
2--3--11--13,6.62,91.8%
2--10--11--12,6.62,95.9%
1--4--7--13,6.64,96.7%
3--7--7--12,6.64,90.2%
4--6--12--12,6.64,97%
1--5--10--12,6.65,92%
2--3--4--6,6.65,97.8%
1--3--3--9,6.66,96.8%
4--6--11--12,6.66,93%
1--4--4--7,6.67,96.2%
1--6--8--10,6.67,97.3%
3--7--13--13,6.67,87.5%
1--2--3--6,6.68,97.1%
4--4--4--4,6.68,97.9%
1--2--5--5,6.69,95.1%
1--3--13--13,6.7,97.2%
2--8--9--12,6.7,95.3%
3--6--6--7,6.7,93.8%
1--2--10--13,6.71,97.2%
7--8--11--12,6.71,96.3%
1--5--8--10,6.72,96.5%
1--7--7--11,6.72,97.1%
2--2--8--12,6.72,98.1%
3--8--9--10,6.72,96.3%
1--1--2--7,6.73,95.5%
3--7--11--11,6.73,87.8%
5--6--6--7,6.73,97.8%
9--9--10--13,6.73,91%
1--10--11--12,6.74,95%
4--4--12--13,6.74,92.1%
4--4--5--5,6.75,93.3%
2--2--5--5,6.76,93.4%
5--7--10--12,6.76,96.7%
6--8--10--12,6.76,97.4%
1--12--12--12,6.78,93.8%
2--5--6--11,6.78,96.3%
3--3--5--6,6.78,96.6%
1--1--2--9,6.79,95%
1--3--3--3,6.79,95.7%
6--7--12--13,6.79,95.5%
2--2--2--4,6.8,96.1%
1--2--5--6,6.81,94.4%
1--4--8--13,6.81,97.5%
1--9--11--12,6.82,93.9%
3--4--10--13,6.82,96.5%
1--2--5--7,6.84,95.2%
1--6--8--11,6.84,97.8%
3--3--12--13,6.84,93.3%
2--11--11--13,6.85,95%
4--7--7--7,6.86,88.7%
5--6--7--7,6.86,87.3%
5--7--11--11,6.86,96.3%
8--9--11--12,6.86,95.2%
2--2--2--13,6.87,93.7%
4--8--8--8,6.87,94.5%
1--5--6--6,6.88,93.8%
7--7--10--13,6.88,89.9%
2--3--12--13,6.89,96%
2--6--6--8,6.9,95.7%
3--4--5--7,6.9,96.7%
4--4--4--8,6.9,96.4%
1--1--3--5,6.91,95.4%
2--4--4--8,6.91,96.6%
3--3--3--3,6.91,96.1%
7--8--12--13,6.91,96.8%
11--12--12--13,6.91,97.1%
1--1--4--9,6.92,93.6%
7--9--13--13,6.92,96.6%
8--9--12--13,6.93,96.1%
1--2--11--13,6.94,93.6%
1--3--4--4,6.95,93.5%
3--8--8--9,6.95,95.7%
2--4--13--13,6.96,95.8%
3--3--3--10,6.96,94.5%
4--5--11--11,6.96,87.4%
8--9--10--13,6.96,96%
9--11--11--11,6.96,95.4%
1--9--10--12,6.97,93.9%
1--6--6--10,6.98,93.6%
2--2--12--13,6.98,92.7%
11--11--12--13,6.98,95.3%
1--1--6--12,6.99,91%
4--7--10--11,6.99,97.1%
4--7--13--13,6.99,87.7%
1--3--6--7,7,96.4%
4--5--7--7,7,91.1%
2--5--5--13,7.01,92.3%
9--10--11--12,7.01,96.1%
1--3--5--13,7.02,94.5%
2--6--10--12,7.02,95.4%
4--7--8--8,7.02,94.3%
5--5--10--10,7.02,86.8%
6--9--12--12,7.02,89.2%
5--6--9--9,7.03,90.7%
6--8--11--11,7.03,94.2%
1--2--2--11,7.04,97.2%
2--8--12--12,7.04,95.3%
3--3--4--4,7.04,94.6%
4--4--4--12,7.04,96.5%
2--4--5--8,7.05,95.2%
5--6--13--13,7.05,87.2%
8--8--10--13,7.05,90.6%
8--8--12--13,7.05,92.3%
1--2--11--12,7.06,96.9%
1--11--12--12,7.06,94.4%
4--6--9--10,7.06,94.1%
2--3--5--5,7.07,96.1%
1--6--8--8,7.08,93.3%
2--5--5--8,7.08,88.7%
2--6--7--12,7.08,92.3%
3--6--9--9,7.08,93.9%
1--3--10--11,7.09,96.3%
3--6--6--12,7.09,95.6%
1--2--6--7,7.1,95.5%
6--7--10--13,7.1,96.7%
2--9--9--11,7.11,87.5%
1--3--10--12,7.12,96.6%
2--6--7--13,7.12,96.7%
3--3--3--7,7.12,92%
3--4--11--12,7.12,95.2%
1--2--3--5,7.13,95.5%
1--3--7--13,7.13,96.9%
4--5--10--10,7.13,91.2%
6--8--8--8,7.13,88.1%
5--5--6--6,7.14,93.2%
8--10--11--11,7.15,95%
1--8--8--10,7.16,92.4%
1--8--8--11,7.17,93.6%
2--2--10--13,7.17,89.9%
2--3--3--13,7.19,94%
1--2--2--13,7.2,96.7%
1--7--7--9,7.2,96.1%
1--7--8--11,7.2,92.8%
2--9--9--13,7.2,88.6%
3--5--5--6,7.2,89.2%
5--5--10--13,7.2,89.9%
1--3--9--11,7.21,95.1%
1--10--12--13,7.21,94.5%
3--7--12--13,7.21,93.9%
4--6--6--8,7.21,97.3%
2--5--9--12,7.23,95.7%
5--6--11--11,7.23,87%
10--10--12--13,7.23,92.3%
4--8--11--12,7.24,93%
6--6--12--13,7.24,90.4%
1--3--4--11,7.25,96%
3--7--7--9,7.25,86.7%
5--5--11--11,7.25,85.8%
5--5--13--13,7.25,85.4%
1--7--10--12,7.26,92.7%
2--6--10--10,7.26,95.8%
2--9--10--12,7.26,94.1%
1--3--4--5,7.27,97.6%
2--2--7--13,7.27,96.3%
4--8--10--12,7.27,95.8%
1--1--8--8,7.28,89.5%
1--5--6--9,7.28,92.1%
2--5--12--12,7.28,83.2%
2--7--7--13,7.28,86.2%
3--8--8--12,7.29,91.7%
4--5--11--13,7.29,90.7%
2--8--8--8,7.3,93.9%
3--9--10--11,7.31,93%
8--8--9--11,7.31,89.5%
1--1--6--8,7.33,94.9%
4--7--12--13,7.33,92.3%
5--9--10--10,7.33,92.9%
2--6--7--9,7.34,96.2%
5--5--7--8,7.34,92.7%
1--2--4--10,7.35,96.2%
1--6--8--13,7.35,94.5%
9--12--12--12,7.35,81.8%
1--7--9--13,7.36,93.9%
3--4--5--12,7.36,97.1%
3--5--13--13,7.36,94%
7--10--10--11,7.36,93.7%
2--2--3--9,7.38,94.7%
3--6--6--6,7.38,94.5%
4--5--5--8,7.38,88%
6--6--6--11,7.38,88.7%
2--3--3--11,7.39,89.7%
3--7--11--12,7.39,90.8%
1--6--6--9,7.4,90.7%
7--9--10--12,7.4,94.1%
10--12--12--13,7.4,90.1%
3--6--11--12,7.41,93.3%
5--10--11--11,7.41,90.4%
1--8--9--11,7.42,92.8%
3--5--5--12,7.42,88.9%
5--6--11--13,7.42,91.5%
1--3--7--8,7.43,89.4%
1--5--9--9,7.43,94.4%
5--6--8--8,7.43,92.4%
3--6--8--8,7.44,92.7%
10--11--11--12,7.44,96.8%
1--8--11--12,7.45,91.7%
3--3--9--9,7.45,95.9%
3--4--8--10,7.45,93.5%
4--4--5--8,7.45,96%
1--2--7--10,7.46,90.8%
1--11--12--13,7.46,94.3%
1--12--12--13,7.46,94.4%
2--3--7--12,7.46,94.9%
3--5--6--8,7.47,93.9%
7--8--8--9,7.47,86.4%
2--4--10--12,7.48,96.6%
2--7--8--13,7.49,94.1%
3--3--4--5,7.49,94%
4--7--11--11,7.49,86.2%
2--2--4--7,7.5,95.1%
1--2--3--7,7.52,96.1%
6--8--13--13,7.52,93.4%
3--5--10--12,7.53,94.9%
5--5--9--9,7.54,85.2%
2--6--9--11,7.55,95.9%
4--7--9--9,7.55,86.6%
2--5--6--8,7.56,95.6%
1--2--4--13,7.57,93.8%
5--8--8--10,7.57,91.7%
5--10--13--13,7.57,92.8%
1--2--3--9,7.58,96.5%
1--5--5--6,7.58,95.1%
2--2--6--6,7.58,96%
2--4--8--10,7.58,97.7%
4--4--4--7,7.58,91.4%
1--7--9--9,7.6,94.9%
3--3--5--5,7.6,89.5%
9--10--10--13,7.6,95.3%
2--2--7--8,7.61,93.7%
2--6--6--6,7.61,96.1%
2--10--10--11,7.61,85.2%
3--9--11--11,7.61,85.3%
3--9--13--13,7.61,86.1%
5--7--13--13,7.61,94.1%
6--7--11--13,7.61,90.2%
1--2--2--4,7.62,95.8%
1--4--5--5,7.62,95.9%
2--3--4--12,7.63,94.4%
4--4--8--8,7.64,95.9%
1--4--4--4,7.65,95.9%
2--10--10--13,7.65,89.9%
3--5--5--7,7.66,90.2%
3--5--6--12,7.66,93.4%
5--5--10--11,7.66,87.4%
1--8--9--13,7.68,91.6%
3--3--10--13,7.68,89.2%
3--4--4--7,7.68,90.5%
6--6--6--9,7.68,89.8%
2--8--12--13,7.71,89.7%
8--8--8--12,7.71,88.3%
2--3--5--6,7.72,95.4%
3--7--9--10,7.72,92%
9--11--13--13,7.72,92.3%
1--2--12--13,7.73,96.4%
1--3--8--12,7.74,96.7%
3--6--10--12,7.74,93%
1--2--4--11,7.75,92.1%
4--4--7--9,7.75,93.4%
4--8--12--13,7.75,92%
3--4--9--12,7.76,94.5%
2--2--4--10,7.77,94.5%
2--6--6--13,7.77,85%
1--9--11--11,7.78,90.2%
2--2--2--10,7.78,93.9%
2--4--4--13,7.78,85.6%
1--3--5--11,7.79,93%
1--4--10--11,7.79,95%
2--4--5--13,7.79,94.7%
2--6--6--11,7.79,82.9%
3--4--4--12,7.79,90.7%
2--7--8--8,7.8,92.6%
1--2--2--5,7.81,94.6%
4--7--9--10,7.81,91.1%
7--10--12--12,7.81,84.6%
4--8--10--11,7.82,90.8%
2--6--8--11,7.83,93.5%
3--4--4--9,7.83,90.9%
3--3--4--12,7.84,95.1%
8--9--11--13,7.84,90.5%
2--6--11--13,7.85,90.2%
1--2--9--12,7.86,92.8%
3--6--12--12,7.88,93.1%
4--5--7--8,7.88,95.5%
1--4--8--11,7.89,95.7%
3--3--4--7,7.89,90.3%
3--6--6--9,7.89,96.4%
3--9--12--12,7.89,91%
5--6--7--8,7.9,93.7%
5--8--8--9,7.9,87.2%
1--4--9--12,7.91,96.2%
2--4--4--11,7.91,84.7%
3--4--12--13,7.92,93.3%
5--6--10--11,7.92,90.5%
2--2--9--11,7.93,91.6%
5--6--6--6,7.93,87.5%
3--9--10--10,7.95,85%
5--6--10--10,7.96,86.6%
1--4--4--10,7.97,92.2%
1--5--6--10,7.97,91.8%
2--4--6--10,7.97,94%
1--2--6--9,7.98,94.6%
1--4--6--11,7.98,92.6%
1--6--9--13,7.98,90.8%
3--5--8--11,7.98,89.5%
3--12--12--12,7.98,91%
6--6--9--12,7.98,91.8%
2--2--4--8,7.99,95.8%
2--5--5--11,7.99,83.1%
6--6--10--12,7.99,93.7%
2--7--7--11,8,86.1%
8--10--13--13,8,92.5%
3--6--7--9,8.01,93.3%
2--2--6--12,8.02,94.1%
2--6--8--10,8.02,93.6%
4--6--8--9,8.02,93.6%
5--8--12--12,8.02,75.4%
10--12--13--13,8.02,94.5%
2--2--3--3,8.03,93.5%
3--4--7--9,8.03,93.5%
1--2--5--9,8.04,95.2%
7--8--11--13,8.05,90.6%
3--6--10--10,8.06,85.4%
3--7--12--12,8.06,91.4%
2--3--3--6,8.07,96.4%
4--4--4--5,8.07,85.1%
1--4--4--9,8.08,94.2%
2--3--5--11,8.09,94.9%
6--6--7--10,8.09,84.2%
2--5--6--13,8.1,91.5%
3--3--8--9,8.1,88.6%
3--4--5--5,8.1,94%
3--12--12--13,8.1,92.5%
4--5--10--11,8.11,88.1%
3--4--10--12,8.12,92.6%
3--7--10--11,8.12,90.8%
2--3--4--8,8.15,92.9%
2--8--8--9,8.16,90.3%
3--9--12--13,8.16,89.5%
4--5--8--9,8.16,89.3%
6--7--8--10,8.17,91.3%
2--4--9--13,8.18,93.9%
5--8--8--13,8.19,92.5%
10--11--12--13,8.2,95.9%
1--3--6--9,8.21,92.8%
2--7--8--11,8.21,94.9%
4--8--9--10,8.21,89%
1--3--6--13,8.24,92%
4--8--8--9,8.24,92.4%
8--10--10--12,8.24,94.4%
1--8--11--13,8.25,88.3%
2--7--9--10,8.25,94%
3--7--8--12,8.26,95%
4--7--9--12,8.26,94.8%
4--10--12--12,8.26,92.3%
2--2--3--7,8.27,88.3%
3--5--8--8,8.27,92.2%
4--4--6--12,8.27,94.3%
1--6--11--12,8.28,88.9%
3--5--6--6,8.28,92.1%
3--6--9--10,8.29,92.5%
4--5--9--10,8.29,90.3%
1--3--4--13,8.3,94.5%
2--5--6--7,8.3,92.4%
1--4--9--11,8.31,94.4%
1--5--5--13,8.31,93.1%
9--10--12--13,8.32,93.6%
2--4--8--8,8.33,93.7%
4--6--8--12,8.33,94.1%
2--2--4--11,8.34,91.8%
2--4--8--11,8.34,92.8%
1--5--9--10,8.35,93.1%
2--7--11--12,8.36,91.4%
3--4--9--11,8.36,89.7%
2--2--6--10,8.37,95.5%
8--11--12--12,8.38,77.1%
2--4--8--12,8.39,94%
4--4--10--12,8.39,90.8%
5--5--8--9,8.39,90%
1--2--8--9,8.4,93.4%
1--3--4--9,8.4,94.6%
1--1--7--10,8.41,85%
2--8--9--10,8.41,88.6%
6--6--7--9,8.41,90.6%
6--8--8--10,8.41,91%
1--4--5--11,8.42,90.8%
5--6--9--10,8.44,90.8%
5--8--9--11,8.44,89.8%
3--4--7--10,8.45,93.3%
1--3--12--12,8.46,85.7%
5--8--11--13,8.47,88.6%
1--2--2--7,8.48,91.8%
1--2--6--13,8.5,91.2%
2--8--9--13,8.5,90%
3--6--8--9,8.5,93.7%
2--4--4--4,8.54,94.8%
2--5--10--11,8.56,94.2%
2--4--7--10,8.57,91.2%
2--8--8--11,8.58,83.9%
4--4--8--11,8.58,86.9%
1--6--12--13,8.6,89.3%
3--4--5--10,8.6,90.3%
5--5--8--8,8.6,84.8%
1--2--3--3,8.61,95.6%
2--10--11--13,8.61,89.9%
4--7--8--9,8.61,92%
5--6--10--13,8.61,91.2%
2--4--6--6,8.62,94.3%
6--6--8--9,8.63,90.3%
3--3--7--11,8.64,92.1%
3--3--8--12,8.64,91.6%
2--3--3--7,8.65,92%
2--9--10--11,8.65,88.8%
2--9--12--13,8.65,90.9%
2--3--10--13,8.66,93.6%
2--8--11--12,8.67,88.4%
1--6--10--13,8.68,88.2%
2--6--6--10,8.68,94.1%
3--11--12--12,8.68,91.2%
4--4--4--9,8.68,87.9%
6--8--10--13,8.69,86.6%
1--3--4--10,8.71,93.1%
1--4--9--10,8.71,93.5%
2--4--7--11,8.71,92.7%
3--6--7--12,8.73,90.2%
1--2--5--13,8.74,94.4%
2--2--3--13,8.74,87.5%
2--4--6--9,8.74,92%
4--5--8--12,8.74,93.5%
2--2--8--10,8.76,94.5%
3--7--7--13,8.76,93.6%
1--2--3--11,8.77,95.7%
1--2--7--8,8.77,94.7%
2--2--4--13,8.77,90.9%
4--4--7--12,8.77,89.6%
4--4--4--11,8.8,86.1%
1--11--13--13,8.83,91.3%
4--5--6--7,8.83,89.7%
6--8--8--11,8.83,86.9%
1--3--9--13,8.84,93.7%
6--8--9--13,8.84,94%
4--5--8--8,8.85,86.9%
4--6--10--12,8.85,93.9%
6--6--9--11,8.85,88.7%
1--4--6--7,8.87,87.2%
1--2--9--13,8.88,93.2%
2--3--5--9,8.88,92.2%
2--9--10--13,8.88,90.1%
5--5--9--10,8.88,86.7%
2--4--9--9,8.89,90.2%
1--3--4--7,8.9,95.1%
4--8--9--11,8.93,92.8%
3--4--7--7,8.94,94.3%
2--4--10--13,8.95,89.2%
2--6--7--8,8.95,89.4%
3--9--9--10,8.95,86.6%
2--8--9--11,8.96,90.7%
7--8--8--11,8.96,81%
9--10--11--13,8.96,89.9%
2--5--7--10,8.97,92%
3--10--11--12,8.98,89.3%
4--11--12--13,8.99,91.3%
2--3--4--13,9.02,91.1%
2--3--7--11,9.03,92.2%
3--5--9--12,9.03,90%
1--2--6--11,9.04,89.8%
1--4--5--10,9.04,91.4%
4--4--6--11,9.04,86.4%
7--8--10--13,9.04,92.2%
6--6--8--11,9.05,83.1%
2--9--11--11,9.06,89.4%
5--7--8--8,9.06,82.5%
1--1--3--10,9.08,88.4%
1--5--5--9,9.08,88.6%
4--8--8--12,9.08,94.3%
1--4--6--9,9.09,86.2%
3--7--10--13,9.09,88.2%
4--4--8--10,9.09,91.1%
1--3--3--10,9.1,90.2%
3--5--6--9,9.1,92.8%
5--5--6--7,9.1,91%
4--5--5--9,9.11,91.5%
1--2--4--5,9.13,90.6%
4--5--9--13,9.13,89.3%
5--6--6--10,9.13,89%
1--5--6--8,9.14,90.4%
6--6--8--10,9.14,90.5%
1--3--8--8,9.15,86.8%
6--8--12--12,9.15,91.4%
1--2--4--9,9.16,91%
3--4--4--5,9.16,91.3%
2--2--5--6,9.17,88.5%
2--2--3--6,9.18,91.6%
4--7--10--10,9.18,83.9%
4--12--12--12,9.18,86.6%
1--5--9--11,9.19,93.2%
1--3--5--10,9.2,93.3%
2--3--9--9,9.2,91%
2--5--8--13,9.2,93%
2--11--12--13,9.21,89.6%
4--4--8--13,9.21,86.5%
3--5--6--7,9.22,89.6%
4--4--9--11,9.23,82.1%
3--9--10--12,9.24,90.1%
2--2--5--7,9.25,89.2%
2--3--6--10,9.28,92.2%
2--8--8--10,9.28,92.8%
2--5--8--9,9.29,92.8%
5--10--10--12,9.29,87.1%
6--6--8--13,9.3,83.2%
4--5--10--13,9.31,91.4%
3--6--12--13,9.32,86.3%
3--7--8--9,9.33,87.2%
1--3--5--7,9.34,89.5%
2--2--3--11,9.34,86.2%
1--5--10--13,9.37,88.7%
2--3--4--11,9.37,88.1%
4--4--5--10,9.37,86%
6--6--6--12,9.38,89.3%
7--12--12--13,9.39,82.9%
3--4--6--12,9.4,93.4%
6--8--11--13,9.42,86.3%
2--2--5--11,9.44,87.6%
2--2--6--8,9.44,95.4%
2--3--8--12,9.44,93.2%
3--7--7--10,9.44,89.5%
2--10--11--11,9.45,86.2%
2--3--4--4,9.46,94.2%
8--8--9--13,9.46,81.1%
2--3--3--9,9.47,93.1%
5--7--8--9,9.47,88.7%
8--8--8--13,9.48,84.1%
3--9--11--12,9.52,90.4%
1--2--7--9,9.53,93.5%
5--6--7--12,9.54,84.6%
6--6--6--8,9.54,91.5%
3--5--5--9,9.55,83.4%
